제목,내용,기자,날짜
"관악구, 장애인 재난사고 제로에 도전한다",관악구가 각종 재난·안전사고로부터 장애인의 안전을 강화하기 위해 장애인 재난안전 종합 대책을 마련하고 더 촘촘하고 탄탄한 안전망 구축에 나선다.,박미영 기자,2022년 11월 05일 12:10
"국가철도공단, ‘2022 재난대응 안전한국훈련 국민체험단’ 모집",국가철도공단은 오는 23일 예정된 ‘2022 재난대응 안전한국훈련’ 실시에 앞서 다양한 계층의 경험과 의견 수집을 통한 재난대응역량 향상을 위해 ‘2022...,박미영 기자,2022년 11월 05일 12:09
‘우유 짜기’도 무인로봇 시대,"충남도가 국산 로봇착유기를 처음 보급하며, ‘디지털 낙농’ 기반 확보에 본격 나섰다. 도 농업기술원은 농촌진흥청 국립축산과학원의 ‘한국형 로봇착유기 보급 ...",박미영 기자,2022년 11월 05일 12:07
"수원시, 소프트웨어 로봇과 업무 협업… 디지털 행정혁신 박차",수원시가 소프트웨어 로봇인 RPA(Robotic Process Automation)를 시범 도입해 ‘디지털 행정혁신’에 박차를 가한다. 단순·반복 업무를 ...,박미영 기자,2022년 11월 05일 11:56
"중앙대 다빈치AI대학원, 딥러닝 기반 군중분석 기술개발",중앙대 다빈치AI대학원이 딥러닝 기술을 기반으로 다수의 사람이 밀집한 공간에서 발생하는 이상 행동과 인원 규모를 사전에 파악할 수 있는 ‘군중분석’ 기술을...,박미영 기자,2022년 11월 05일 11:54
"현대차-국회사무처, 국회 자율주행차 도입 업무협약 체결",현대차가 국회사무처와 함께 내년 상반기 중 인공지능(AI)과 자율주행 기술을 결합한 ‘국회 자율주행 셔틀’을 선보인다. 현대차는 지난 4일 국회사무처와 ‘...,박미영 기자,2022년 11월 05일 11:52
"가을 단풍철, ‘산불 위험 비상’ 산불 조심하세요",산림청 국립산림과학원 산림재해예측·분석센터는 가을철 산불 발생위험이 고조됨에 따라 가을철 산불 조심 기간(11.1.~12.15)을 설정하고 산림과 인접한 ...,박미영 기자,2022년 11월 05일 11:50
"정부, 다중이용시설 긴급 안전점검 추진한다",행정안전부는 지난 4일 이상민 행정안전부 장관 주재로 관계부처와 17개 시·도가 참여한 가운데 2022년 제6차 안전정책조정위원회 및 제5회 중앙지방정책협...,박미영 기자,2022년 11월 05일 11:46
"미래 산업 초격차 확보 위해 국가적 역량 결집, ‘첨단전략산업 국가 컨트롤타워’ 출범",정부는 지난 4일 한덕수 국무총리 주재로 제1차 ‘국가첨단전략산업위원회’를 개최했다. 정부는 글로벌 기술패권 경쟁 및 첨단산업 육성 경쟁에 대응해 ‘국가첨...,박미영 기자,2022년 11월 05일 11:45
"5년에 걸쳐 진행된 사이버 보험 관련 재판, 결론에 가까워졌다",오레오 쿠키와 리츠 크래커로 유명한 회사 몬델레즈 인터내셔널(Mondelez International)이 사이버 보험사와의 오랜 법정 공방을 마무리 짓는 ...,문가용 기자,2022년 11월 05일 00:25
웹하드에서 성인 게임이나 크랙 버전 잘못 받았다간... 디도스 봇 악성코드 감염  ,ASEC 분석팀에서는 최근 ‘HH IRC Bot’이라고 하는 DDoS 봇 악성코드가 유포되고 있는 것을 확인했다. 악성코드에서 사용되는 문자열 및 기능들을...,김영명 기자,2022년 11월 04일 23:45
"한화에어로스페이스, 폴란드와 다연장로켓 ‘천무’ 5조원 수출 계약 체결 ",한화디펜스와 통합한 한화에어로스페이스가 폴란드 정부와 다연장로켓인 천무의 수출 계약을 체결했다. 한화에어로스페이스는 4일 폴란드 바르샤바에서 폴란드 정부와...,엄호식 기자,2022년 11월 04일 23:37
"한국표준협회, ‘2022 혁신경영 표준화 포럼’ 성황리 개최",KSA 한국표준협회(회장 강명수)가 주관하는 ‘혁신경영 표준화 포럼’이 4일 서울 삼성동에 있는 인터컨티넨탈 서울 코엑스 알레그로홀에서 개최됐다. ,김영명 기자,2022년 11월 04일 13:41
[신간] 탄산수 정보처리기사 필기,2023년 최신 NCS 출제 기준을 알기쉽게 반영한 ‘탄산수 정보처리기사 필기’ 도서가 출간됐다. 이 책은 핵심이론과 기출문제 분석은 물론 저자의 무료 특...,김경애 기자,2022년 11월 04일 13:15
사이버 보험 업계의 혼란 속에서 고객들은 어떤 서비스를 요구해야 하나?,"사이버 보험 시장은 여전히 변수가 많은 곳이다. 솔직히 말해, 보험사들조차도 아직 고객들에게 정확히 뭘 제공해야 하는지 잘 알지 못한다. 늘 그랬던 건 아...",문가용 기자,2022년 11월 04일 12:39
혼란스러운 정세 속에서 기업들이 다시 생각해야 할 것은 ‘신뢰’,어떤 국가에서의 사업을 철수해야만 할까? 잘 지내왔던 파트너사와 더 이상 거래를 할 수 없게 될까? 혹여 이런 급작스러운 상황 때문에 IT 인프라를 다시 ...,문가용 기자,2022년 11월 04일 12:36
블랙바스타 랜섬웨어와 핀7 해킹 그룹 사이의 연관성 드러나,보안 외신 해커뉴스에 의하면 블랙바스타(Black Basta)라는 랜섬웨어 운영자들과 핀7(FIN7)이라는 해킹 단체가 꽤나 밀접한 관계인 것이 드러났다고...,문가용 기자,2022년 11월 04일 12:29
"록빗 랜섬웨어 갱단, 자동차 테크 대기업 콘티넨탈 공격",보안 블로그 시큐리티어페어즈에 의하면 록빗(LockBit)이라는 악명 높은 랜섬웨어 갱단이 자동차 산업 내 다국적 하이테크 기업인 콘티넨탈(Continen...,문가용 기자,2022년 11월 04일 12:24
"롬콤랫 멀웨어, 키패스와 솔라윈즈, 빔 등의 서비스 사칭",IT 외신 블리핑컴퓨터에 의하면 롬콤랫(RomCom RAT)이라는 멀웨어를 운영하는 자들이 여러 유명 서비스들을 사칭해 멀웨어를 유포하고 있다고 한다. 특...,문가용 기자,2022년 11월 04일 12:22
"적십자, 사이버전 대비한 디지털 엠블럼 제작에 나서",보안 외신 시큐리티위크에 의하면 적십자가 디지털 시스템 상에 적십자를 표현할 수 있는 디지털 엠블럼을 만들 계획을 세우고 있다고 한다. 국가의 해킹 부대나...,문가용 기자,2022년 11월 04일 12:21
"오퍼레이어 APT, 아프리카의 금융 기관들 집중 공략",보안 외신 해커뉴스에 의하면 프랑스어를 구사하는 해킹 단체 오퍼레이어 APT(OPERA1ER APT)가 최근 아프리카 대륙에서 활발한 활동을 펼치는 중이라...,문가용 기자,2022년 11월 04일 12:19
"[유경동의 IP 인사이트] 특허, 누리호를 쏘아 올리다  ","지금 우리 머리 위 대기권 밖 우주 공간에는, 우리 기술로 만든 1.3톤급 위성 모사체와 162.5㎏짜리 성능검증 위성이 떠있다. 이들 위성을 싣고 우주로...",원병철 기자,2022년 11월 04일 11:26
"KISA, 재중 한국기업 대상 개인정보보호 세미나 개최 ","한국인터넷진흥원(KISA, 원장 이원태)은 개인정보보호위원회(위원장 고학수)와 함께 중국 소재 한국기업을 대상으로 중국 개인정보보호법 세미나를 중국 북경에...",원병철 기자,2022년 11월 04일 10:59
"화웨이, 혁신적인 5G 기술로 안전하고 효율적인 스마트 항만 생태계 구축 앞장",선도적인 5G 기술력으로 5G B2B 생태계 확장에 앞장서고 있는 화웨이가 전 세계 스마트 항만 사업을 강화하며 영향력을 확대하고 있다. 화웨이는 업계 및...,원병철 기자,2022년 11월 04일 10:36
"국가기술표준원, 차세대 반도체·나노기술 등 첨단 기술 국제표준화 추진한다",산업통상자원부 국가기술표준원은 10월 31일부터 11월 4일까지 미국 샌프란시스코에서 개최된 ‘제86차 국제전기기술위원회(IEC) 총회’에서 차세대 반도체...,박미영 기자,2022년 11월 04일 09:58
"산업부, 자율운항선박 실증을 위한 성능실증센터 준공",산업통상자원부는 지난 3일 본격적인 자율운항선박 실증사업 추진을 위한 성능실증센터를 준공했다고 밝혔다. 동 센터는 자율운항에 필요한 항해·기관 자동화 시스...,박미영 기자,2022년 11월 04일 09:55
지능형교통체계 핵심 가치는 ‘안전’,국토부통부는 ITS 첨단 기술을 활용해서 교통안전을 획기적으로 강화할 수 있는 교통류 스마트제어서비스 사업을 새롭게 발굴해 시범 사업에 착수한다고 밝혔다.,박미영 기자,2022년 11월 04일 09:54
"소방청, 다중운집장소 소방안전 강화 대책 TF 가동","소방청은 지난 10월 29일 서울 이태원에서 발생한 다수 사상 재난과 관련해, 유사 사고 재발을 방지하기 위한 소방안전 강화 대책 TF를 11월 말까지 운...",박미영 기자,2022년 11월 04일 09:53
디지털 전환을 넘어 디지털 대도약 시대로 나아간다,"과학기술정보통신부는 ‘‘대한민국 디지털 전략’ 소통·공감, 디지털 산업 시리즈’ 두 번째 행사인 ‘2023 정보통신기술(ICT) 산업전망 학술대회(콘퍼런스...",박미영 기자,2022년 11월 04일 09:50
철도안전 원점 재검토... 철도안전 비상대책 회의 개최,국토교통부는 우리나라 주요 5개 국가 철도운영 및 시설관리기관 대표가 참석한 가운데 긴급 ‘철도안전 비상대책 회의’를 지난 3일 개최했다.,박미영 기자,2022년 11월 04일 09:48
"아스트론시큐리티, 중기부 추진 ‘아기유니콘’ 기업으로 선정",클라우드 보안 솔루션 전문 기업 아스트론시큐리티(대표 조근석)가 중소벤처기업부의 아기유니콘 기업으로 선정됐다.,김영명 기자,2022년 11월 04일 09:43
"앤씨앤, 자동차품질경영시스템(IATF 16949) 인증 획득",앤씨앤(대표 최종현)은 국제 자동차품질경영시스템 ‘IATF(International Automotive Task Force) 16949’ 인증을 획득했다고...,엄호식 기자,2022년 11월 04일 09:43
"경찰청, 사이버안보 해킹조직 연구회 세미나 개최",경찰청(국가수사본부 안보수사국)은 지난 3일 ‘사이버안보 해킹조직 연구회 세미나’를 개최했다. 이번 세미나는 국가안보를 위협하는 국가 배후 해킹조직에 대한...,박미영 기자,2022년 11월 04일 09:43
"여가부, 청소년시설 심폐소생술 교육 확대 추진","여성가족부는 청소년들의 응급상황 대응능력을 높이기 위해 청소년시설에서 심폐소생술 등 응급처치법 교육을 적극 실시하고, 청소년 시설 종사자들의 응급처치법 교...",박미영 기자,2022년 11월 04일 09:41
"SKT, ‘누구 비즈콜’로 서울 시민의 안부 챙긴다",SK텔레콤은 서울시 AI안부확인서비스 사업의 일환으로 각 구별로 원하는 회사의 AI콜 서비스를 선택하도록 하는 경쟁 참여 사업에서 전체 25개 지역구 중 ...,박미영 기자,2022년 11월 04일 09:40
"LG전자, 유망 스타트업과 함께 B2B 사업 성장동력 키운다",LG전자가 유망 스타트업과 함께 B2B 사업의 신성장동력 발굴과 육성에 나선다. LG전자는 지난 2일 한국무역협회(KITA)와 함께 B2B 사업에 특화된 ...,박미영 기자,2022년 11월 04일 09:38
"U+스마트레이더, 국립백두대간수목원 지킨다",LG유플러스는 한국수목원정원관리원 소속 경북 봉화군 국립백두대간수목원 시설 내에 U+스마트레이더 서비스를 개시했다고 밝혔다. U+스마트레이더는 자율주행 차...,박미영 기자,2022년 11월 04일 09:37
"중앙대 다빈치가상대학, 한국메타버스산업협회와 산학협력 MOU 체결","중앙대 다빈치가상대학이 한국메타버스산업협회와 실감미디어, 메타버스 분야 인재 육성과 저변 확대를 위한 산학협력 업무협약(MOU)을 지난 2일 체결했다.",박미영 기자,2022년 11월 04일 09:36
"IITP, 2022년도 ICT R&D 사업 우수 평가위원 포상",정보통신기획평가원(IITP)은 지난 2일 ICT R&D 사업 평가의 공정성 및 전문성 제고에 기여한 우수 평가위원을 선발해 포상식을 개최했다. ICT R&...,박미영 기자,2022년 11월 04일 09:32
의료 현장에서 비대면으로 검체 채취부터 진단까지 한번에 한다,과학기술정보통신부 산하 한국기계연구원(기계연)이 국내 최초로 코로나 등 감염병 확산 방지를 위해 의료 현장에서 비대면으로 검체 채취 로봇을 통해 검체를 채...,박미영 기자,2022년 11월 04일 09:30
"KISTI, 국가과학기술연구망 양자암호통신 구축 전략 제언",한국과학기술정보연구원(KISTI)은 양자암호통신 기술 및 구축 동향을 파악하고 분석해 포스트 퀀텀 시대의 안전한 통신을 위한 국가과학데이터 양자암호 인프라...,박미영 기자,2022년 11월 04일 09:28
"구미시·경북TP, ‘스마트공장 보급·확산 사업’ 업무협약 체결","구미시는 지난 3일 경북테크노파크와 기업 경쟁력 강화 및 지역 산업발전을 위한 ‘구미시 스마트공장 보급·확산 사업’의 업무협약을 체결하며, 구미국가산단 제...",박미영 기자,2022년 11월 04일 09:27
"산업단지, ‘산업단지 혁신 종합 대책’ 발표",산업통상자원부는 지난 3일 열린 국정현안관계장관회의에서 산업단지가 국가경제의 핵심 거점으로 다시 한 번 도약할 수 있도록 하는 ‘산업단지 혁신 종합 대책’...,박미영 기자,2022년 11월 04일 09:24
"통계청·유엔통계처, 공식통계 국제세미나 개최",통계청은 유엔통계처와 함께 ‘데이터 스튜어드십과 데이터 공유 보안’을 주제로 지난 2~3일 공식통계 국제세미나를 개최했다. ‘데이터 스튜어드십’은 국가 내...,박미영 기자,2022년 11월 04일 09:20
"중기부, 국가경제의 미래를 이끌 초격차 스타트업 1,000개 육성","중소벤처기업부는 독보적인 기술을 보유한 신산업 유망 초기창업기업(스타트업) 1,000개 이상을 발굴하고, 민관 공동으로 5년간 2조원 이상을 투입해 국가경...",박미영 기자,2022년 11월 04일 09:18
"포천시, 전국 최초 CCTV AI 이벤트 관제사업 시연회 실시",포천시는 지난 2일 포천시CCTV스마트안심센터에서 전국 최초로 CCTV AI 이벤트 관제사업 시연회를 실시했다. 올해 총 5억원의 특별교부세를 확보해 기존...,박미영 기자,2022년 11월 04일 09:15
"대전시, 디지털 물산업 실증랩 개소... AI 기반 상수도 혁신",대전시와 대전정보문화산업진흥원은 오는 18일 대전정보문화산업진흥원에 ‘디지털 물산업 인공지능 실증랩’을 개소한다고 밝혔다. 실증랩은 수요기업에서 보유한 데...,박미영 기자,2022년 11월 04일 09:12
"경기도, 열화상 드론 15대 시군에 배치해 야간 산불 대응",경기도는 11월 1일부터 12월 15일까지를 ‘2022년 가을철 산불방지대책 기간’으로 정하고 산불 방지 총력 대응에 나서기로 했다. 특히 도는 야간 산불...,박미영 기자,2022년 11월 04일 09:10
"경기도, 소방 긴급차량·교육환경보호구역 데이터 분석 통해 도정에 활용",경기도가 소방 긴급차량 출동 데이터를 분석해 긴급차량 우선 신호시스템을 먼저 설치해야 할 지역을 찾아냈다. 또 교육환경보호구역 내 대기오염물질 배출시설 등...,박미영 기자,2022년 11월 04일 09:09
"KOTRA, 2022 대한민국 디지털 이노베이션 어워즈 수상",KOTRA는 지난 3일 열린 과학기술정보통신부가 주최한 ‘2022 대한민국 디지털 이노베이션 어워즈(Digital Innovation Awards)’에서 ...,박미영 기자,2022년 11월 04일 09:08
"행안부, 다중 밀집 인파사고 예방 안전관리 대책 관계장관회의 개최","행정안전부는 지난 3일 문체부장관, 경찰청장, 소방청차장, 교육부 기획조정실장 등이 참석한 가운데 다중밀집 안전 예방 관계장관회의를 개최하고 다중 밀집 인...",박미영 기자,2022년 11월 04일 09:05
"렘코스랫 악성코드, ‘Payment Error’ 스팸 메일로 위장해 유포 확산","최근 ‘Payment Error’라는 제목으로 스팸메일이 발송됐으며, 메일 본문에는 은행 계좌번호와 금액 등 금융관련 정보가 기재돼 있는 것이 확인돼 사용...",김영명 기자,2022년 11월 04일 07:25
"경찰청, 3일 ‘사이버안보 해킹조직 연구회 세미나’ 개최",경찰청은 3일 서울경찰청 어울림홀에서 ‘사이버안보 해킹조직 연구회 세미나(이하 ’세미나’)’를 개최했다.,김영명 기자,2022년 11월 04일 07:21
"모니터랩, ISO 국제표준인증 3개 부문 동시 획득",클라우드 기반 SECaaS 전문기업 모니터랩(대표 이광후)이 국제표준화기구(ISO)의 △클라우드 정보보호 국제 표준 인증 ISO 27017 △ISO 270...,김영명 기자,2022년 11월 03일 17:44
 Weekly Security Premium Report 제74호 발간! 기업 위기관리와 사이버 보험 ,11월 3일 발간된 ‘Weekly Security Premium Report’ 제74호에는 <보안 심층 리포트> 코너에서 코로나 팬데믹에 이어 ...,권준  기자,2022년 11월 03일 17:39
"보안 전문가 비탈리 크레메즈, 스쿠버 다이빙 하다가 유명 달리해","본지에도 여러 번 인용된 보안 전문가이자, 보안 업체 어드브인텔(AdvIntel)의 CEO인 비탈리 크레메즈(Vitali Kremez)가 10월 30, 싸...",문가용 기자,2022년 11월 03일 17:29
"에이블스토어 & 에이블클라우드, Cloud Innovation 2023 개최",에이블클라우드(Ablecloud) 국산 HCI 시스템과 에코 솔루션을 소개하는 Cloud Innovation 2023이 11월 3일 구로동에 위치한 포포인...,엄호식 기자,2022년 11월 03일 16:58
"일론 머스크의 것이 된 트위터, 푸른 배지 논란은 해커들의 먹잇감이 되고",트위터의 수장이 된 일론 머스크(Elon Musk)가 여러 가지 변화를 꾀하고 있다. 그 중 하나가 보안 업계의 질타를 받기 시작했다. 트위터가 사용자 계...,문가용 기자,2022년 11월 03일 16:52
"기업 CIO/CISO, 2023년에는 부족해진 살림을 더 쥐어짜야 한다","2023년에도 CIO/CISO들의 고난은 이어질 것으로 예상된다. 기업들은 이전보다 더 자신들의 제품과 서비스를 시장에 내놓고 싶어하는데, 인플레이션 때문...",문가용 기자,2022년 11월 03일 15:17
"OpenSSL 이메일 주소 버퍼 오버플로 취약점 2건 발견, 사용자 주의",오픈SSL(OpenSSL)에서 특수하게 제작된 이메일 주소를 통해 X.509 인증서 확인 과정 중 트리거될 수 있는 버퍼 오버런(buffer overrun...,김영명 기자,2022년 11월 03일 15:06
[카드뉴스] 해커가 사랑하는 마법의 문 ‘백도어’,"백도어(Back Door)란 시스템 설계자나 관리자에 의해 고의로 남겨진 시스템의 보안상 허점을 이용한 것으로, 시스템에 비안가된 접근을 가능하게 하는 일...",원병철 기자,2022년 11월 03일 14:58
"국기연, AI 과학기술 강군 위한 유·무인 협업 체계 국내 기술력 평가","국방기술진흥연구소(국기연)는 ‘AI 과학기술 강군’ 육성의 핵심 전력 중 하나인 유·무인 협업 체계 구축을 위한 국내 기술력을 평가해, ‘유·무인 협업 (...",박미영 기자,2022년 11월 03일 14:56
100만 번 이상 다운로드 된 안드로이드 앱에서 악성 기능 발견돼,보안 외신 해커뉴스에 의하면 네 개의 안드로이드 앱에서 사용자를 악성 웹사이트로 우회 접속시키는 기능이 발견됐다고 한다. Bluetooth App Send...,문가용 기자,2022년 11월 03일 12:44
VPN 앱들을 통해 안드로이드 감염시키는 샌드스트라이크 멀웨어,보안 외신 핵리드는 구글 플레이 스토어에서 유통되는 VPN 앱들 중 38%가 멀웨어라는 충격적인 사실을 보도했다. 최근에는 VPN 앱들로 위장한 스파이웨어...,문가용 기자,2022년 11월 03일 12:43
"수백 개의 미국 뉴스 사이트, 공급망 공격에 당해",사이버 공격자들이 미국의 뉴스 매체를 통해 멀웨어를 퍼트리고 있다고 IT 외신 블리핑컴퓨터가 보도했다. 이 기업과 관련된 뉴스 웹사이트는 수백 개가 넘는다...,문가용 기자,2022년 11월 03일 12:42
"정부 기관 근무자들을 겨냥한 피싱 공격, 급하게 증가 중",보안 외신 SC미디어에 의하면 정부 기관에 근무하는 사람들을 겨냥한 피싱 공격이 급증하는 중이라고 한다. 미국 내에서 2021년 한 해 동안 발생한 피싱 ...,문가용 기자,2022년 11월 03일 12:40
"슈프리마, 4만명 규모의 카타르 주상 복합형 레지던스 출입통제 프로젝트 수주 달성","AI 통합보안 솔루션 전문기업 슈프리마(대표 이재원, 김한철)가 2022 월드컵 개최국인 카타르에 위치한 펄 카타르(The Pearl-Qatar) 인공섬의...",엄호식 기자,2022년 11월 03일 11:04
"국토부, 항공안전체계 전면 쇄신한다",국토교통부는 지난 2일 11개 국적 항공사 CEO가 참석한 ‘항공안전 비상대책 회의’를 긴급 개최했다. 이번 점검회의는 최근 국내외에서 발생한 활주로 이탈...,박미영 기자,2022년 11월 03일 10:42
"파수, 새해 이끌 새로운 키워드 ‘클라우드·인공지능·사이버보안·메타버스·워크플레이스’",파수(대표 조규곤)가 3일 서울 여의도 콘래드 호텔에서 ‘FDI 서밋 2022(Fasoo Digital Intelligence Summit 2022)’를 ...,김영명 기자,2022년 11월 03일 10:40
"ETRI, 24개 언어 이해하는 음성인식 기술 개발","국내 연구진이 한국어와 영어, 중국어, 일본어뿐만 아니라 독일어, 프랑스어, 스페인어, 러시아어 등 세계 주요 24개 언어를 인식할 수 있는 음성인식 기술...",엄호식 기자,2022년 11월 03일 10:37
"행안부, ‘주민등록증 신규 발급’ 정부24에서 신청하세요",행정안전부는 11월부터 단계적으로 생활밀착형 온라인 서비스 40개를 내년 상반기까지 추가해 정부24(www.gov.kr)에서 서비스한다고 밝혔다.,박미영 기자,2022년 11월 03일 09:48
"산업부, ‘2022 에너지 혁신 인재 포럼’ 개최",산업통상자원부와 한국에너지기술평가원은 지난 2일 ‘2022 대한민국 에너지대전’과 연계해 ‘2022 에너지 혁신 인재 포럼’을 개최했다. 이번 포럼에서는 ...,박미영 기자,2022년 11월 03일 09:44
"산업부, 대학·연구소 대상 통제기술 설명회 개최","산업통상자원부는 지난 2일 국가정보원과 함께 서울대, 한국과학기술원, 한국원자력연구원, 한국항공우주연구원 등 13개 대학 및 연구소가 참석한 가운데 통제기...",박미영 기자,2022년 11월 03일 09:37
"안랩, 임직원 대상 ‘불공정거래행위 유형별 유의사항’ 교육 진행",안랩(대표 강석균)이 2일 주현영 법무법인 세종 파트너 변호사를 초청해 ‘불공정거래행위 유형별 유의사항’을 주제로 공정거래 교육을 실시했다.,김영명 기자,2022년 11월 03일 09:34
시험운전자 교육으로 안전한 자율주행 돕는다,국토교통부는 자율주행차 시험 운행에 따른 안전사고 예방을 위해 3일 자율주행차 시험운전자(안전관리요원)를 대상으로 ‘자율주행 교통안전 교육 과정’을 처음으...,박미영 기자,2022년 11월 03일 09:23
"미래 전장의 핵심 최첨단 국방로봇, 무인수색차량 본격적인 연구개발 착수","방위사업청은 2022년 11월부터 2026년 9월까지 약 1,284억원 규모의 무인수색차량(Block-I) 체계개발사업을 국과연 주관으로 착수한다고 밝혔다...",박미영 기자,2022년 11월 03일 09:18
"소부장·뿌리산업, 산업대전환의 시작을 선도한다",산업통상자원부는 지난 2일부터 4일까지 일산 킨텍스에서 ‘2022 소부장뿌리 기술대전’을 개최한다. ‘소부장뿌리 기술대전’은 2011년 ‘소재부품 미래비전...,박미영 기자,2022년 11월 03일 09:15
"부산시, GS25 영남본부와 ‘응급처치 교육 확대’ 업무협약 체결",부산시는 지난 2일 GS25 편의점 운영사인 GS25 영남본부와 심폐소생술 등 응급처치 교육 확대를 위한 업무협약을 체결했다. 이번 업무협약은 이러한 시의...,박미영 기자,2022년 11월 03일 09:13
"자율운항선박 기술, 본격적인 실증에 착수한다",해양수산부는 3일 ‘자율운항선박 성능실증센터’를 준공·개소하고 본격적인 자율운항선박 기술 실증에 들어간다고 밝혔다. 해양수산부는 산업통상자원부와 함께 인공...,박미영 기자,2022년 11월 03일 09:10
"KB증권, 금융 ‘마이데이터 서비스’ 최초 개인정보보호 ISMS-P 인증 획득",KB증권은 금융 마이데이터 서비스 부문 최초로 ‘정보보호 및 개인정보보호 관리체계(ISMS-P)’ 인증을 획득했다고 밝혔다. KB증권은 지난해 획득한 IS...,박미영 기자,2022년 11월 03일 09:08
"부산, 데이터 기반 스마트양식 기술 선점화 전략 찾는다",부산시는 지난 2일 ‘제17회 부산수산정책포럼’이 개최했다. 이번 포럼에서는 ‘데이터 기반 부산 스마트양식 기술 선점화 대응 방안 및 발전전략 모색’을 주...,박미영 기자,2022년 11월 03일 09:05
"제주도, 민간 클라우드 전환 사업 본격 추진한다",제주도는 행정안전부의 ‘2022년 클라우드 컴퓨팅서비스 활용모델 적용을 위한 지자체 시범 사업’에 1순위로 선정돼 특별교부세 12억원을 추가 확보했다. 이...,박미영 기자,2022년 11월 03일 09:03
"수산자원공단, 드론 활용 돌김 바다숲 3㏊ 조성",한국수산자원공단 남해본부는 올해 경남 연안 신규 바다숲 3개소에 첨단 기술인 드론을 활용해 돌김 포자 3종을 살포했다. 드론을 활용한 바다숲 조성 기술은 ...,박미영 기자,2022년 11월 03일 09:01
"제주도, 해안도로 관광셔틀 자율주행 모빌리티 서비스 시승식 개최",제주도는 지난 2일 공항 인근 해안도로에서 민간 주도 자율주행 모빌리티 서비스인 ‘탐라자율차’ 시승식을 개최했다. ‘탐라자율차’ 서비스는 제주공항 인근 해...,박미영 기자,2022년 11월 03일 08:59
"관악구, AI안부전화로 스마트돌봄시스템 강화한다",관악구는 돌봄사각지대에 놓인 사회적 고립 위험 가구의 고독사를 예방하고 대상자를 적극적으로 관리하기 위한 ‘AI안부확인서비스’를 11월부터 본격 운영한다.,박미영 기자,2022년 11월 03일 08:57
"과기정통부, 제8회 ‘국제 정보통신기술 리더십 토론회’ 개최",과학기술정보통신부는 지난 2일 ‘제8회 국제 정보통신기술 리더십 토론회(포럼)’을 개최했다. 과기정통부가 주최하고 한국지능정보사회원(NIA)에서 주관하는 ...,박미영 기자,2022년 11월 03일 08:54
"LockBit 랜섬웨어 유포 조직, 워드 파일 형태로 아마디 봇 추가 유포중",최근 이력서를 위장한 워드파일 형태로 록빗(LockBit) 랜섬웨어를 유포하던 조직이 LockBit 랜섬웨어와 함께 아마디 봇(Amadey Bot)을 추가...,김영명 기자,2022년 11월 02일 18:10
"예고됐던 오픈SSL 취약점, 다행히 하트블리드까지는 아니야",지난 주부터 예고됐던 오픈SSL(OpenSSL) 취약점에 대한 정보와 패치가 드디어 공개됐다. 다행히 위험도 측면에서 문제의 취약점은 초고위험군에서 고위험...,문가용 기자,2022년 11월 02일 17:40
"KISIA, ‘2022년 K-시큐리티 글로벌 데모데이’ 개최","한국정보보호산업협회(회장 이동범, 이하 ‘KISIA’)는 과학기술정보통신부, 한국인터넷진흥원(KISA)과 함께‘ K-시큐리티 글로벌 데모데이’를 개최했다고...",김영명 기자,2022년 11월 02일 16:29
"포티넷, 단일 벤더 SASE 솔루션으로 클라우드 제공 기능 강화",네트워킹 및 보안 기술의 융합과 사이버보안의 진화를 주도하는 포티넷코리아(대표 조원균)는 단일-벤더 통합 SASE 솔루션인 ‘FortiSASE’의 클라우드...,김영명 기자,2022년 11월 02일 15:22
"삼성-애플-구글 간 ‘OO페이’ 大戰, 보안성이 차별화 포인트 될까 ","바야흐로 ‘간편결제의 시대’, ‘페이앱의 시대’라고 불릴 만하다. 스마트폰만 손에 쥐고 있으면 모든 게 끝난다. 이제는 ‘OO페이의 시대’다. 최근 애플이...",김영명 기자,2022년 11월 02일 14:20
"과기정통부, ‘2022 정보통신기술 연구개발 주간’ 개최",과학기술정보통신부와 정보통신기획평가원은 ‘2022 정보통신기술 연구개발(ICT R&D) 주간’ 행사를 지난 1일부터 4일까지 엘타워(서울)에서 개최한다.,박미영 기자,2022년 11월 02일 13:51
"[구축사례] 모토로라 LTE 무전통신 솔루션, 시설 안전관리 현장에 속속 도입","사건·사고는 언제 어떻게 찾아올지 모르지만, 평상시 어떤 대비를 하느냐에 따라 그 결과는 완전히 달라질 수 있다. 최근 각종 재난 및 안전사고에 대한 사회...",엄호식 기자,2022년 11월 02일 13:45
"과기정통부, 차세대 연결망 분야 국제 지도력 확보한다",과학기술정보통신부는 지난 1일부터 4일까지 4일간 삼정호텔(서울 강남구)에서 5세대와 6세대 이동통신 분야의 국제 기술·산업 동향을 공유하는 ‘모바일코리아...,박미영 기자,2022년 11월 02일 13:41
"특허청, 2022년 우수 지식재산 창업기업 15사 선정·발표","특허청은 지난 1일 한국발명진흥회, 신용보증기금, 은행권청년창업재단과 함께 투자유치행사 및 ‘2022년 우수 지식재산 창업기업’ 15개사를 선정·발표했다.",박미영 기자,2022년 11월 02일 13:40
잠깐만 끊겨도 기업 리스크 극대화... 실시간 장애 예측 중요,"2022년 10월 IDC 화재로 A기업 대량 서비스 장애, 2021년 12월 트래픽 통신 장애로 B기업 이틀 연속 결제 오류, 2021년 12월 트래픽 관...",김경애 기자,2022년 11월 02일 13:39
